"Rep_trt_id","Treatment_id","Treatment.x","Rep","Ryegrass.cultivar","Sowing.rate..kg.ha.","PlotID","gg_sample_Date","Mean.m.2","stdev","se..mean.","year","rs_sample_Date","grazing_date","days_snc_lst_graze","Blue","GLI","Green","IR","MSAVI","NDVI","NGRDI","Red","RedEdge","reNDVI","month","day","OBJECTID","Treatment.y","Lat","Long","Shape_Length","Shape_Area"
"R4T3",3,"Halo 6 Rep 4",4,"Halo",6,32,"",NA,NA,NA,2013,"30/01/2013","",NA,5533.353854,0.071772559,4735.959941,10265.70315,0.739904337,0.58719289,0.278964517,2669.96865,5184.547493,0.328872054,1,30,32,"6 kg/ha",617812,5167481,67.3128623079563,109.519235104396
"",NA,"",NA,"",NA,33,"",NA,NA,NA,2013,"30/01/2013","",NA,5500.810879,0.075147316,4816.400423,10438.33196,0.733145059,0.578724391,0.267169832,2785.422633,5236.265866,0.33187876,1,30,33,NA,617812,5167485,67.3127802205205,109.519291642423
"",NA,"",NA,"",NA,34,"",NA,NA,NA,2013,"30/01/2013","",NA,5507.988424,0.079326955,4926.369004,10887.17926,0.733947614,0.579724654,0.259484901,2896.46238,5376.362204,0.338844837,1,30,34,NA,617811,5167488,67.3126973787487,109.517840471373
"",NA,"",NA,"",NA,35,"",NA,NA,NA,2013,"30/01/2013","",NA,5459.621557,0.083742315,4976.556059,11541.78924,0.743938881,0.592289667,0.254826327,2955.308217,5572.216744,0.348812108,1,30,35,NA,617811,5167492,67.3126973795133,109.517840470846
"",NA,"",NA,"",NA,36,"",NA,NA,NA,2013,"30/01/2013","",NA,5475.454798,0.089292571,5008.772437,11925.37799,0.756834052,0.60880566,0.266676564,2899.753829,5702.859142,0.352985883,1,30,36,NA,617810,5167496,67.3126648097305,109.518875232604
"",NA,"",NA,"",NA,37,"",NA,NA,NA,2013,"30/01/2013","",NA,5508.422225,0.086987164,5001.591534,11971.26166,0.758269059,0.610664811,0.26697559,2893.732694,5764.200469,0.349980234,1,30,37,NA,617810,5167499,67.312698130176,109.51934812473
"",NA,"",NA,"",NA,38,"",NA,NA,NA,2013,"30/01/2013","",NA,5501.262807,0.083725983,4998.491323,11851.84845,0.750998407,0.601289097,0.257556919,2951.035646,5759.969293,0.345897241,1,30,38,NA,617809,5167503,67.3124998780448,109.517480586621
"R4T2",2,"Alto 6 Rep 4",4,"Alto",6,39,"",NA,NA,NA,2013,"30/01/2013","",NA,5558.282527,0.076770072,5008.720472,11668.32908,0.740251147,0.58762842,0.246034144,3030.738952,5692.439949,0.344217996,1,30,39,"6 kg/ha",617809,5167507,67.3124998772831,109.517480562903
"R4T2",2,"Alto  30 Rep 4",4,"Alto",30,40,"",NA,NA,NA,2013,"30/01/2013","",NA,5561.581113,0.079119306,5002.885613,11694.40458,0.745427772,0.594179187,0.253877828,2976.975746,5640.126155,0.349261166,1,30,40,"30 kg/ha",617808,5167510,67.3125827204663,109.518931743034
"R5T3",3,"Halo  30 Rep 5",5,"Halo",30,41,"",NA,NA,NA,2013,"30/01/2013","",NA,5534.330086,0.087092188,5015.43833,11820.18478,0.755554135,0.607151112,0.268969636,2889.302949,5669.75534,0.35165526,1,30,41,"30 kg/ha",617808,5167514,67.3124673060086,109.518515302267
"",NA,"",NA,"",NA,42,"",NA,NA,NA,2013,"30/01/2013","",NA,5456.514437,0.09456492,4992.053793,12071.78661,0.767844752,0.623181809,0.280918108,2802.439489,5671.823736,0.360691131,1,30,42,NA,617807,5167517,67.3125006308918,109.51898824906
"",NA,"",NA,"",NA,43,"",NA,NA,NA,2013,"30/01/2013","",NA,5424.486275,0.096119993,4941.26705,12290.31374,0.778287753,0.637056104,0.289122504,2724.826802,5694.423504,0.366749325,1,30,43,NA,617806,5167521,67.3124673070834,109.518515306145
"R5T3",3,"Halo 6 Rep 5",5,"Halo",6,44,"",NA,NA,NA,2013,"30/01/2013","",NA,5492.307557,0.092393562,4886.684773,12471.69207,0.789290711,0.651933319,0.300600926,2627.818214,5679.24782,0.374219974,1,30,44,"6 kg/ha",617806,5167525,67.3125006319667,109.518988252938
"",NA,"",NA,"",NA,45,"",NA,NA,NA,2013,"30/01/2013","",NA,5535.576869,0.088253623,4841.461397,12596.12731,0.795419353,0.660337753,0.305274482,2576.842511,5640.415546,0.381416139,1,30,45,NA,617805,5167528,67.3123852193538,109.518571839767
"",NA,"",NA,"",NA,46,"",NA,NA,NA,2013,"30/01/2013","",NA,5430.372322,0.093692323,4850.809077,12545.06348,0.792019451,0.655664797,0.300510128,2609.046827,5525.938961,0.388419211,1,30,46,NA,617805,5167532,67.3123852185921,109.518571816049
"",NA,"",NA,"",NA,47,"",NA,NA,NA,2013,"30/01/2013","",NA,5261.24546,0.10375557,4862.81379,12370.06756,0.786904712,0.648684316,0.296969436,2635.919264,5445.569088,0.388675331,1,30,47,NA,617804,5167535,67.3123852204287,109.518571843645
"",NA,"",NA,"",NA,48,"",NA,NA,NA,2013,"30/01/2013","",NA,5246.924667,0.103078687,4896.321978,12130.20591,0.776126444,0.634165306,0.286496914,2715.54545,5490.739705,0.376793979,1,30,48,NA,617804,5167539,67.3122698059792,109.518155402878
"",NA,"",NA,"",NA,49,"",NA,NA,NA,2013,"30/01/2013","",NA,5518.091753,0.088087877,5048.300421,11722.14898,0.74886597,0.598560007,0.263332611,2943.736477,5699.607717,0.345690815,1,30,49,NA,617803,5167543,67.3123031308625,109.518628349671
"",NA,"",NA,"",NA,50,"",NA,NA,NA,2013,"30/01/2013","",NA,5779.265091,0.082326915,5353.641484,11263.01856,0.70707426,0.546890251,0.23744049,3299.12449,5999.759319,0.304890631,1,30,50,NA,617803,5167546,67.312276048849,109.518318588861
"",NA,"",NA,"",NA,51,"",NA,NA,NA,2013,"30/01/2013","",NA,5504.785755,0.100440923,5097.156282,11895.23122,0.76220055,0.615780578,0.28622766,2828.588812,5829.246541,0.34223771,1,30,51,NA,617867,5167374,67.3137281312689,109.518432019841
"",NA,"",NA,"",NA,52,"",NA,NA,NA,2013,"30/01/2013","",NA,5434.319135,0.09886937,4981.885207,12111.38169,0.774048599,0.631395648,0.290914491,2736.496208,5794.479619,0.352784039,1,30,52,NA,617866,5167378,67.3137984892054,109.519644237782
"R1T2",2,"Alto 6 Rep 1",1,"Alto",6,53,"",NA,NA,NA,2013,"30/01/2013","",NA,5497.868368,0.09016097,4923.686594,12108.99813,0.775311531,0.63307796,0.288189439,2720.665152,5768.04151,0.354698359,1,30,53,"6 kg/ha",617866,5167382,67.3136020391902,109.518188764133
"R1T2",2,"Alto  30 Rep 1",1,"Alto",30,54,"",NA,NA,NA,2013,"30/01/2013","",NA,5473.07843,0.08770239,4912.672995,11933.67167,0.768059294,0.623464593,0.279260613,2767.815163,5651.337399,0.357255105,1,30,54,"30 kg/ha",617865,5167385,67.3136020388897,109.518188749525
"",NA,"",NA,"",NA,55,"",NA,NA,NA,2013,"30/01/2013","",NA,5470.220579,0.083491591,4883.446102,11779.97933,0.763027636,0.616861029,0.272578273,2791.43914,5559.773037,0.358725209,1,30,55,NA,617865,5167389,67.3136020399618,109.518188777648
